ID,Age,Sex,Date,HaveYou,WouldYou,OpenToNew,SchoolSimplified,Neighborhood,UserLanguage,CaregiverImmigrate,CaregiverImmigrateYear,CaregiverImmigrateMonth,MonthsSinceCaregiverImmigration,CaregiverDOB_1,CaregiverDOB_2,CaregiverDOB_3,CaregiverResidencyDuration,AverageAgeDifference,VarianceAgeDifference,StDevAgeDifference,AvgAbsAgeDifference,VarAbsAgeDifference,StDevAbsAgeDifference,Partners_count,Partners_no_adults,Count_adults,Prop_adults,Partners_male,Partners_female,Prop_male,Count_same_sex,Count_other_sex,Prop_same_sex,Count_immediate,Count_extended,Count_related,Count_unrelated,Prop_immediate,Prop_extended,Prop_related,Partners_male_noadult,Partners_female_noadult,Prop_malenoadult,Count_same_sex_noadult,Count_other_sex_noadult,Prop_same_sex_noadult,Count_immediate_noadult,Count_extended_noadult,Count_related_noadult,Count_unrelated_noadult,Prop_immediate_noadult,Prop_extended_noadult,Prop_related_noadult
577,12,M,11-Jan,Yes,Yes,1,Public,Sandy Bay,ES-ES,Yes,2017,2,83,1994,8,21,83,-0.2,1.7,1.303840481,1,0.5,0.7071067812,5,5,0,0,4,1,0.8,4,1,0.8,0,0,0,5,0,0,0,4,1,0.8,4,1,0.8,0,0,0,5,0,0,0
895,7,F,10-Jan,No,No,0,Public,Camponado/Campolancho,ES-ES,Yes,2022,7,18,1991,4,10,18,0.6,0.3,0.5477225575,0.6,0.3,0.5477225575,5,5,0,0,3,2,0.6,2,3,0.4,0,1,1,4,0,0.2,0.2,3,2,0.6,2,3,0.4,0,1,1,4,0,0.2,0.2
894,12,M,10-Jan,No,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2022,7,18,1991,4,10,18,4,0,0,4,0,0,3,3,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0,3,0,1,3,0,1,0,0,0,3,0,0,0
925,7,F,10-Jan,No,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3333333333,2.333333333,1.527525232,1,1,1,3,3,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0
403,8,F,10-Jan,Yes,No,1,Methodist,Cola de Mica/Lozano,EN,Yes,1989,1,420,1985,4,22,420,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0
681,9,M,10-Jan,Yes,Yes,1,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,1993,9,29,364,-0.5,3,1.732050808,1,2,1.414213562,4,4,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0,4,0,1,4,0,1,0,0,0,4,0,0,0
971,13,M,9-Jan,No,Yes,1,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1978,5,7,548,-1.428571429,3.952380952,1.988059595,1.714285714,2.904761905,1.704336206,7,7,0,0,5,2,0.714285714,5,2,0.714285714,1,2,3,4,0.142857143,0.285714286,0.428571429,5,2,0.714285714,5,2,0.714285714,1,2,3,4,0.142857143,0.285714286,0.428571429
578,9,F,9-Jan,Yes,Yes,1,Public,Sandy Bay,ES-ES,Yes,2017,2,83,1994,8,21,83,0.6666666667,0.3333333333,0.5773502692,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0
646,13,F,9-Jan,Yes,Yes,1,Methodist,Centro,ES-ES,Yes,2020,12,37,1970,3,26,37,1.5,0.5,0.7071067812,1.5,0.5,0.7071067812,2,2,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0
957,6,M,9-Jan,No,No,0,Kinder,Cola de Mica/Lozano,ES-ES,Yes,2015,11,98,1985,9,17,98,-2,0,0,2,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1
958,8,M,9-Jan,No,No,0,Methodist,Cola de Mica/Lozano,ES-ES,Yes,2015,11,98,1985,9,17,98,2,0,0,2,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1
956,11,F,9-Jan,Yes,Yes,1,Methodist,Cola de Mica/Lozano,ES-ES,Yes,2015,11,98,1985,9,17,98,1.25,2.25,1.5,1.25,2.25,1.5,4,4,0,0,0,4,0,4,0,1,0,2,2,2,0,0.5,0.5,0,4,0,4,0,1,0,2,2,2,0,0.5,0.5
979,9,F,9-Jan,Yes,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.75,5.357142857,2.314550249,2,4.285714286,2.070196678,8,8,0,0,1,7,0.125,7,1,0.875,1,5,6,2,0.125,0.625,0.75,1,7,0.125,7,1,0.875,1,5,6,2,0.125,0.625,0.75
946,9,F,9-Jan,No,Yes,1,Adventist,Camponado/Campolancho,ES-ES,Yes,2009,NA,175,1995,10,21,175,0,0.5,0.7071067812,0.4,0.3,0.5477225575,5,5,0,0,0,5,0,5,0,1,0,1,1,4,0,0.2,0.2,0,5,0,5,0,1,0,1,1,4,0,0.2,0.2
661,11,F,9-Jan,No,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,283,1996,1,5,283,1,4,2,1,4,2,4,4,0,0,1,3,0.25,3,1,0.75,1,0,1,3,0.25,0,0.25,1,3,0.25,3,1,0.75,1,0,1,3,0.25,0,0.25
662,7,M,9-Jan,No,Yes,1,Public,Camponado/Campolancho,ES-ES,Yes,2000,NA,283,1996,1,5,283,0.625,10.26785714,3.204349722,2.625,2.839285714,1.685018016,8,8,0,0,6,2,0.75,6,2,0.75,0,1,1,7,0,0.125,0.125,6,2,0.75,6,2,0.75,0,1,1,7,0,0.125,0.125
921,6,M,8-Jan,No,Yes,1,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,1977,1,23,564,-4,0,0,4,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1
986,10,F,8-Jan,No,Yes,1,Methodist,Cola de Mica/Lozano,ES-ES,Yes,2012,NA,139,1980,7,24,139,1,0,0,1,0,0,3,3,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0
985,7,F,8-Jan,Yes,Yes,1,Methodist,Cola de Mica/Lozano,ES-ES,Yes,2012,NA,139,1980,7,24,139,-8.5,12.5,3.535533906,8.5,12.5,3.535533906,2,2,0,0,2,0,1,0,2,0,1,1,2,0,0.5,0.5,1,2,0,1,0,2,0,1,1,2,0,0.5,0.5,1
743,7,M,8-Jan,No,Yes,1,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,2000,3,1,286,2,0,0,2,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
920,11,M,8-Jan,Yes,Yes,1,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,1977,1,23,564,-0.4,0.3,0.5477225575,0.4,0.3,0.5477225575,5,5,0,0,4,1,0.8,4,1,0.8,0,1,1,4,0,0.2,0.2,4,1,0.8,4,1,0.8,0,1,1,4,0,0.2,0.2
922,8,F,8-Jan,No,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
695,9,F,8-Jan,Yes,Yes,1,Public,Camponado/Campolancho,ES-ES,No,NA,NA,NA,1998,11,21,302,0.5,0.3333333333,0.5773502692,0.5,0.3333333333,0.5773502692,4,4,0,0,0,4,0,4,0,1,0,0,0,4,0,0,0,0,4,0,4,0,1,0,0,0,4,0,0,0
927,12,M,12-Jan,Yes,Yes,1,Methodist,Sandy Bay,ES-ES,Yes,2008,5,188,1982,7,4,188,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
589,10,F,12-Jan,No,Yes,1,Public,Rocky Hill,ES-ES,No,NA,NA,NA,1994,2,19,359,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA
682,13,F,12-Jan,No,Yes,1,Methodist,Rocky Hill,ES-ES,Yes,1990,NA,403,1986,9,11,403,-1.2,1.2,1.095445115,1.2,1.2,1.095445115,5,5,0,0,2,3,0.4,3,2,0.6,0,0,0,5,0,0,0,2,3,0.4,3,2,0.6,0,0,0,5,0,0,0
590,8,F,13-Jan,NoOpportunity,Yes,1,Public,Rocky Hill,ES-ES,No,NA,NA,NA,1994,2,19,359,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
696,11,F,13-Jan,NoOpportunity,Yes,1,Methodist,Cola de Mica/Lozano,EN,No,NA,NA,NA,1975,12,2,577,-1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
419,6,M,15-Jan,Yes,No,1,Public,Sandy Bay,EN,No,NA,NA,NA,1981,5,27,512,-0.6666666667,0.3333333333,0.5773502692,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,3,0,1,3,0,1,0,1,1,2,0,0.333333333,0.333333333,3,0,1,3,0,1,0,1,1,2,0,0.333333333,0.333333333
964,12,M,15-Jan,NoOpportunity,Yes,1,Public,The Point,ES-ES,Yes,2010,4,165,1985,10,24,165,1.4,3.3,1.816590212,1.8,1.7,1.303840481,5,5,0,0,5,0,1,5,0,1,0,1,1,4,0,0.2,0.2,5,0,1,5,0,1,0,1,1,4,0,0.2,0.2
929,12,M,15-Jan,Yes,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1.414213562,1,2,1.414213562,2,2,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0
892,11,F,15-Jan,Yes,Yes,1,Public,Airport/Jerusalem,ES-ES,Yes,2001,NA,271,1994,3,8,271,0,1,1,0.6666666667,0.3333333333,0.5773502692,3,3,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0,0,3,0,3,0,1,0,0,0,3,0,0,0
408,10,M,15-Jan,No,No,0,Adventist,Centro,EN,No,NA,NA,NA,1990,9,20,400,-0.5,0.5,0.7071067812,0.5,0.5,0.7071067812,2,2,0,0,2,0,1,2,0,1,0,2,2,0,0,1,1,2,0,1,2,0,1,0,2,2,0,0,1,1
407,13,F,15-Jan,No,Yes,1,Adventist,Centro,EN,No,NA,NA,NA,1990,9,20,400,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
409,8,F,15-Jan,Yes,Yes,1,Adventist,Centro,EN,No,NA,NA,NA,1990,9,20,400,3,9,3,3,9,3,3,3,0,0,2,1,0.666666667,1,2,0.333333333,0,3,3,0,0,1,1,2,1,0.666666667,1,2,0.333333333,0,3,3,0,0,1,1
967,7,F,15-Jan,Yes,Yes,1,Methodist,Jericho,ES-ES,Yes,2016,4,93,1993,3,16,93,-3,0,0,3,0,0,2,1,1,0.5,1,1,0.5,1,1,0.5,1,1,2,0,0.5,0.5,1,1,0,1,0,1,0,0,1,1,0,0,1,1
968,10,M,15-Jan,Yes,Yes,1,Public,Airport/Jerusalem,ES-ES,Yes,2010,NA,163,1990,10,30,163,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
969,16,F,15-Jan,Yes,No,1,Public,Airport/Jerusalem,ES-ES,Yes,2010,NA,163,1990,10,30,163,5,32,5.656854249,5,32,5.656854249,2,2,0,0,0,2,0,2,0,1,0,1,1,1,0,0.5,0.5,0,2,0,2,0,1,0,1,1,1,0,0.5,0.5
417,11,F,15-Jan,Yes,No,1,Public,Sandy Bay,EN,No,NA,NA,NA,1981,5,27,512,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
418,8,F,15-Jan,Yes,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1981,5,27,512,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
655,7,M,16-Jan,Yes,Yes,1,Public,Sandy Bay,ES-ES,Yes,2003,NA,247,1997,3,13,247,-2.4,32.3,5.683308895,5.2,5.7,2.387467277,5,5,0,0,4,1,0.8,4,1,0.8,2,0,2,3,0.4,0,0.4,4,1,0.8,4,1,0.8,2,0,2,3,0.4,0,0.4
727,11,F,16-Jan,Yes,Yes,1,Public,Cola de Mica/Lozano,ES-ES,Yes,2018,9,64,1981,2,27,64,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
451,10,M,16-Jan,NoOpportunity,Yes,1,Public,Camponado/Campolancho,EN,No,NA,NA,NA,1995,10,30,339,-2.25,3.071428571,1.752549164,2.25,3.071428571,1.752549164,8,8,0,0,7,1,0.875,7,1,0.875,0,4,4,4,0,0.5,0.5,7,1,0.875,7,1,0.875,0,4,4,4,0,0.5,0.5
673,11,F,16-Jan,No,Unsure,0,Public,Sandy Bay,ES-ES,Yes,2012,12,133,1991,2,17,133,0,0,0,0,0,0,3,3,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0,1,2,0.333333333,2,1,0.666666667,0,0,0,3,0,0,0
443,7,M,16-Jan,Yes,No,1,Kinder,Camponado/Campolancho,ES-ES,Yes,2014,3,118,1994,3,4,118,0.2,0.2,0.4472135955,0.2,0.2,0.4472135955,5,5,0,0,5,0,1,5,0,1,0,0,0,5,0,0,0,5,0,1,5,0,1,0,0,0,5,0,0,0
982,7,F,16-Jan,Yes,Yes,1,Methodist,Countryside,ES-ES,Yes,2008,NA,187,1983,7,27,187,-0.125,0.6964285714,0.8345229604,0.625,0.2678571429,0.5175491695,8,8,0,0,3,5,0.375,5,3,0.625,0,0,0,8,0,0,0,3,5,0.375,5,3,0.625,0,0,0,8,0,0,0
452,9,F,16-Jan,Yes,No,1,Public,Camponado/Campolancho,EN,No,NA,NA,NA,1995,10,30,339,0,0.8,0.894427191,0.6666666667,0.2666666667,0.5163977795,6,6,0,0,1,5,0.166666667,5,1,0.833333333,0,0,0,6,0,0,0,1,5,0.166666667,5,1,0.833333333,0,0,0,6,0,0,0
693,9,M,16-Jan,Yes,Yes,1,Public,Sandy Bay,EN,No,NA,NA,NA,1991,6,28,391,-1.5,4.5,2.121320344,1.5,4.5,2.121320344,2,2,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0
893,7,M,16-Jan,NoOpportunity,Yes,1,Methodist,Sandy Bay,ES-ES,Yes,2020,NA,43,1993,10,5,43,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
702,12,F,16-Jan,Yes,Yes,1,Public,Cola de Mica/Lozano,ES-ES,Yes,2008,11,182,1993,5,20,182,NA,NA,NA,NA,NA,1.169045194,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA
930,10,F,16-Jan,Yes,Yes,1,Methodist,Sandy Bay,ES-ES,Yes,2008,5,188,1982,7,4,188,-1.166666667,1.366666667,1.169045194,1.166666667,1.366666667,0.4082482905,6,6,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0
709,7,M,16-Jan,Yes,Yes,1,Public,The Point,ES-ES,Yes,1990,NA,403,1974,8,2,403,-0.1666666667,0.9666666667,0.9831920803,0.8333333333,0.1666666667,0,6,6,0,0,6,0,1,6,0,1,0,0,0,6,0,0,0,6,0,1,6,0,1,0,0,0,6,0,0,0
721,8,M,17-Jan,No,Yes,1,Public,The Point,ES-ES,Yes,2005,5,224,1978,5,27,224,1,0,0,1,0,0.7071067812,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0
719,10,M,17-Jan,NoOpportunity,No,0,Public,The Point,ES-ES,Yes,2005,5,224,1978,5,27,224,1.5,0.5,0.7071067812,1.5,0.5,0.5477225575,5,2,3,0.6,2,3,0.4,2,3,0.4,4,1,5,0,0.8,0.2,1,1,1,0.5,1,1,0.5,2,0,2,0,1,0,1
720,9,F,17-Jan,No,No,0,Public,The Point,ES-ES,Yes,2005,5,224,1978,5,27,224,0.5,0.3,0.5477225575,0.5,0.3,2.217355783,6,6,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0,0,6,0,6,0,1,0,0,0,6,0,0,0
