ID,Age,Sex,Date,Partner_order,Adult,Partner_age,Partner_sex,How,Related,Relationship,AtCamp,Preferred,Unpreferred,Post_camp
577,12,M,11-Jan,1,No,13,M,School,No,Unrelated,No,Yes,No,No
577,12,M,11-Jan,2,No,12,M,School,No,Unrelated,No,No,No,No
577,12,M,11-Jan,3,No,11,M,ThroughFamily,No,Unrelated,No,No,No,No
577,12,M,11-Jan,4,No,11,M,Neighbors,No,Unrelated,No,Yes,No,No
577,12,M,11-Jan,5,No,14,F,School,No,Unrelated,No,No,No,No
895,7,F,10-Jan,1,No,7,F,School,No,Unrelated,No,Yes,No,No
895,7,F,10-Jan,2,No,6,M,School,No,Unrelated,No,No,No,No
895,7,F,10-Jan,3,No,6,F,Family,Yes,Extended,No,Yes,No,No
895,7,F,10-Jan,4,No,7,M,School,No,Unrelated,No,No,Yes,No
895,7,F,10-Jan,5,No,6,M,School,No,Unrelated,No,No,No,No
894,12,M,10-Jan,1,No,8,M,School,No,Unrelated,No,No,No,No
894,12,M,10-Jan,2,No,8,M,School,No,Unrelated,No,No,No,No
894,12,M,10-Jan,3,No,8,M,School,No,Unrelated,No,No,No,No
925,7,F,10-Jan,1,No,7,F,School,No,Unrelated,No,No,No,No
925,7,F,10-Jan,2,No,8,M,School,No,Unrelated,No,Yes,No,No
925,7,F,10-Jan,3,No,5,F,School,No,Unrelated,No,No,No,No
403,8,F,10-Jan,1,No,8,F,School,No,Unrelated,No,No,No,No
403,8,F,10-Jan,2,No,8,F,School,No,Unrelated,No,No,No,No
681,9,M,10-Jan,1,No,8,M,School,No,Unrelated,No,Yes,No,No
681,9,M,10-Jan,2,No,9,M,School,No,Unrelated,No,No,No,No
681,9,M,10-Jan,3,No,12,M,School,No,Unrelated,Yes,No,No,No
681,9,M,10-Jan,4,No,9,M,School,No,Unrelated,No,No,No,No
914,13,M,9-Jan,1,No,14,M,School,No,Unrelated,No,Yes,No,No
914,13,M,9-Jan,2,No,17,M,Family,Yes,Extended,No,No,No,No
914,13,M,9-Jan,3,No,12,F,Family,Yes,Extended,No,No,No,No
914,13,M,9-Jan,4,No,13,F,School,No,Unrelated,No,No,No,No
914,13,M,9-Jan,5,No,13,M,School,No,Unrelated,No,No,No,No
914,13,M,9-Jan,6,No,17,M,ThroughFamily,No,Unrelated,No,No,No,No
914,13,M,9-Jan,7,No,15,M,Family,Yes,Immediate,No,No,No,No
578,9,F,9-Jan,1,No,8,F,School,No,Unrelated,No,Yes,No,No
578,9,F,9-Jan,2,No,9,F,School,No,Unrelated,No,No,No,No
578,9,F,9-Jan,3,No,8,F,School,No,Unrelated,No,No,No,No
646,13,F,9-Jan,1,No,12,F,Neighbors,No,Unrelated,No,Yes,No,No
646,13,F,9-Jan,2,No,11,F,ThroughFamily,No,Unrelated,No,Yes,No,No
957,6,M,9-Jan,1,No,8,M,Family,Yes,Immediate,Yes,No,No,No
958,8,M,9-Jan,1,No,6,M,Family,Yes,Immediate,Yes,No,No,No
956,11,F,9-Jan,1,No,11,F,School,No,Unrelated,No,No,No,No
956,11,F,9-Jan,2,No,11,F,School,No,Unrelated,No,No,No,No
956,11,F,9-Jan,3,No,8,F,Family,Yes,Extended,Yes,No,No,No
956,11,F,9-Jan,4,No,9,F,Family,Yes,Extended,Yes,No,No,No
979,9,F,9-Jan,1,No,9,F,School,No,Unrelated,No,No,No,No
979,9,F,9-Jan,2,No,9,F,Family,Yes,Extended,Yes,Yes,No,No
979,9,F,9-Jan,3,No,10,F,Family,Yes,Extended,No,No,No,No
979,9,F,9-Jan,4,No,10,F,School,No,Unrelated,No,No,No,No
979,9,F,9-Jan,5,No,8,F,Family,Yes,Extended,No,No,Yes,No
979,9,F,9-Jan,6,No,14,M,Family,Yes,Extended,No,No,No,No
979,9,F,9-Jan,7,No,12,F,Family,Yes,Extended,No,No,No,No
979,9,F,9-Jan,8,No,14,F,Family,Yes,Immediate,No,No,No,No
946,9,F,9-Jan,1,No,9,F,School,No,Unrelated,No,No,No,No
946,9,F,9-Jan,2,No,8,F,School,No,Unrelated,No,No,No,No
946,9,F,9-Jan,3,No,9,F,School,No,Unrelated,No,No,No,No
946,9,F,9-Jan,4,No,9,F,School,No,Unrelated,No,No,No,No
946,9,F,9-Jan,5,No,10,F,Family,Yes,Extended,No,Yes,No,No
661,11,F,9-Jan,1,No,11,F,School,No,Unrelated,No,No,No,No
661,11,F,9-Jan,2,No,11,F,School,No,Unrelated,No,No,No,No
661,11,F,9-Jan,3,No,11,F,School,No,Unrelated,No,Yes,No,No
661,11,F,9-Jan,4,No,7,M,Family,Yes,Immediate,Yes,No,No,No
662,7,M,9-Jan,1,No,12,M,Neighbors,No,Unrelated,No,Yes,No,No
662,7,M,9-Jan,2,No,8,M,Neighbors,No,Unrelated,No,Yes,No,No
662,7,M,9-Jan,3,No,6,M,Neighbors,No,Unrelated,No,No,No,No
662,7,M,9-Jan,4,No,6,F,Neighbors,No,Unrelated,No,No,No,No
662,7,M,9-Jan,5,No,4,M,Neighbors,No,Unrelated,No,No,No,No
662,7,M,9-Jan,6,No,4,M,Neighbors,No,Unrelated,No,No,No,No
662,7,M,9-Jan,7,No,2,F,Neighbors,No,Unrelated,No,No,No,No
662,7,M,9-Jan,8,No,9,M,Neighbors,Yes,Extended,No,No,No,No
921,6,M,8-Jan,1,No,10,M,Family,Yes,Immediate,Yes,Yes,No,No
986,10,F,8-Jan,1,No,9,M,School,No,Unrelated,No,Yes,No,No
986,10,F,8-Jan,2,No,9,F,School,No,Unrelated,No,Yes,No,No
986,10,F,8-Jan,3,No,9,F,School,No,Unrelated,No,Yes,No,No
985,7,F,8-Jan,1,No,18,M,Family,Yes,Extended,No,No,No,No
985,7,F,8-Jan,2,No,13,M,Family,Yes,Immediate,No,No,No,No
743,7,M,8-Jan,1,No,5,M,Neighbors,No,Unrelated,Yes,Yes,No,No
920,11,M,8-Jan,1,No,11,M,School,No,Unrelated,No,Yes,No,No
920,11,M,8-Jan,2,No,11,M,School,No,Unrelated,No,Yes,No,No
920,11,M,8-Jan,3,No,11,M,School,No,Unrelated,No,No,No,No
920,11,M,8-Jan,4,No,12,F,School,No,Unrelated,No,No,No,No
920,11,M,8-Jan,5,No,12,M,School,Yes,Extended,No,Yes,No,No
922,8,F,8-Jan,1,No,9,F,Recreation,No,Unrelated,Yes,Yes,No,No
695,9,F,8-Jan,1,No,8,F,School,No,Unrelated,Yes,Yes,No,No
695,9,F,8-Jan,2,No,9,F,School,No,Unrelated,No,No,No,No
695,9,F,8-Jan,3,No,8,F,School,No,Unrelated,No,No,No,No
695,9,F,8-Jan,4,No,9,F,School,No,Unrelated,No,No,No,No
927,12,M,12-Jan,1,No,12,M,Recreation,No,Unrelated,No,Yes,No,No
589,10,F,12-Jan,1,Yes,Adult,F,Family,Yes,Immediate,No,No,No,No
682,13,F,12-Jan,1,No,15,M,School,No,Unrelated,No,No,No,No
682,13,F,12-Jan,2,No,13,F,School,No,Unrelated,No,No,No,No
682,13,F,12-Jan,3,No,15,F,School,No,Unrelated,No,No,No,No
682,13,F,12-Jan,4,No,13,F,School,No,Unrelated,No,No,No,No
682,13,F,12-Jan,5,No,15,M,School,No,Unrelated,No,Yes,No,No
590,8,F,13-Jan,1,No,8,F,ThroughFamily,No,Unrelated,No,Yes,No,No
696,11,F,13-Jan,1,No,12,F,ThroughFriend,No,Unrelated,Yes,Yes,No,No
419,6,M,15-Jan,1,No,7,M,School,No,Unrelated,Yes,No,No,No
419,6,M,15-Jan,2,No,7,M,School,No,Unrelated,Yes,No,No,No
419,6,M,15-Jan,3,No,6,M,School,Yes,Extended,Yes,Yes,No,No
964,12,M,15-Jan,1,No,13,M,Neighbors,No,Unrelated,No,Yes,No,No
964,12,M,15-Jan,2,No,10,M,School,Yes,Extended,No,Yes,No,No
964,12,M,15-Jan,3,No,9,M,ThroughFriend,No,Unrelated,No,Yes,No,No
964,12,M,15-Jan,4,No,12,M,School,No,Unrelated,No,Yes,No,No
964,12,M,15-Jan,5,No,9,M,School,No,Unrelated,No,Yes,No,No
929,12,M,15-Jan,1,No,12,M,Recreation,No,Unrelated,No,No,No,No
929,12,M,15-Jan,2,No,10,M,Recreation,No,Unrelated,No,Yes,No,No
895,11,F,15-Jan,1,No,11,F,Church,No,Unrelated,No,Yes,No,No
895,11,F,15-Jan,2,No,10,F,Church,No,Unrelated,No,No,No,No
895,11,F,15-Jan,3,No,12,F,Church,No,Unrelated,No,No,No,No
408,10,M,15-Jan,1,No,10,M,Recreation,Yes,Extended,No,Yes,No,No
408,10,M,15-Jan,2,No,11,M,Family,Yes,Extended,No,Yes,No,No
407,13,F,15-Jan,1,No,13,F,School,No,Unrelated,No,Yes,No,No
409,8,F,15-Jan,1,No,8,M,Family,Yes,Extended,No,Yes,No,No
409,8,F,15-Jan,2,No,5,M,Family,Yes,Extended,No,Yes,Yes,No
409,8,F,15-Jan,3,No,2,F,Family,Yes,Extended,Yes,Yes,No,No
967,7,F,15-Jan,1,No,10,M,Family,Yes,Extended,Yes,Yes,No,No
967,7,F,15-Jan,2,Yes,Adult,F,Family,Yes,Immediate,No,No,No,No
968,10,M,15-Jan,1,No,10,M,School,No,Unrelated,No,Yes,No,No
969,16,F,15-Jan,1,No,7,F,Family,Yes,Extended,Yes,No,No,No
969,16,F,15-Jan,2,No,15,F,School,No,Unrelated,No,Yes,No,No
417,11,F,15-Jan,1,No,11,F,School,No,Unrelated,Yes,Yes,No,No
418,8,F,15-Jan,1,No,8,F,AroundTown,No,Unrelated,Yes,Yes,No,No
655,7,M,16-Jan,1,No,13,M,ThroughFamily,No,Unrelated,No,No,No,No
655,7,M,16-Jan,2,No,13,M,ThroughFamily,No,Unrelated,No,No,No,No
655,7,M,16-Jan,3,No,8,M,Neighbors,No,Unrelated,No,No,Yes,No
655,7,M,16-Jan,4,No,13,M,Family,Yes,Immediate,No,No,No,No
655,7,M,16-Jan,5,No,0,F,Family,Yes,Immediate,No,No,No,No
727,11,F,16-Jan,1,No,10,M,School,No,Unrelated,No,Yes,No,No
451,10,M,16-Jan,1,No,16,M,Family,Yes,Extended,No,Yes,No,No
451,10,M,16-Jan,2,No,12,M,School,Yes,Extended,No,No,No,No
451,10,M,16-Jan,3,No,13,M,Recreation,Yes,Extended,No,No,No,No
451,10,M,16-Jan,4,No,12,M,Recreation,No,Unrelated,No,Yes,No,No
451,10,M,16-Jan,5,No,12,M,Recreation,Yes,Extended,No,Yes,No,No
451,10,M,16-Jan,6,No,12,M,Recreation,No,Unrelated,No,Yes,No,No
451,10,M,16-Jan,7,No,10,M,Recreation,No,Unrelated,No,No,No,No
451,10,M,16-Jan,8,No,11,F,ThroughFriend,No,Unrelated,No,No,No,No
673,11,F,16-Jan,1,No,11,F,School,No,Unrelated,Yes,Yes,No,No
673,11,F,16-Jan,2,No,11,M,TheirHouse,No,Unrelated,No,Yes,No,No
673,11,F,16-Jan,3,No,11,F,SinceChildhood,No,Unrelated,No,Yes,No,No
443,7,M,16-Jan,1,No,7,M,School,No,Unrelated,No,Yes,No,No
443,7,M,16-Jan,2,No,7,M,Recreation,No,Unrelated,No,Yes,No,No
443,7,M,16-Jan,3,No,7,M,School,No,Unrelated,Yes,Yes,No,No
443,7,M,16-Jan,4,No,6,M,School,No,Unrelated,No,Yes,No,No
443,7,M,16-Jan,5,No,7,M,Recreation,No,Unrelated,No,No,Yes,No
982,7,F,16-Jan,1,No,8,F,School,No,Unrelated,No,No,No,No
982,7,F,16-Jan,2,No,7,F,School,No,Unrelated,No,Yes,No,No
982,7,F,16-Jan,3,No,7,M,School,No,Unrelated,Yes,Yes,No,No
982,7,F,16-Jan,4,No,6,M,School,No,Unrelated,No,Yes,No,No
982,7,F,16-Jan,5,No,8,M,School,No,Unrelated,Yes,No,No,No
982,7,F,16-Jan,6,No,6,F,School,No,Unrelated,No,No,No,No
982,7,F,16-Jan,7,No,8,F,School,No,Unrelated,No,Yes,No,No
982,7,F,16-Jan,8,No,7,F,School,No,Unrelated,No,No,No,No
452,9,F,16-Jan,1,No,9,F,School,No,Unrelated,No,No,No,No
452,9,F,16-Jan,2,No,10,F,AroundTown,No,Unrelated,No,Yes,No,No
452,9,F,16-Jan,3,No,8,F,AroundTown,No,Unrelated,No,Yes,No,No
452,9,F,16-Jan,4,No,9,F,Recreation,No,Unrelated,No,No,No,No
452,9,F,16-Jan,5,No,10,M,School,No,Unrelated,No,No,No,No
452,9,F,16-Jan,6,No,8,F,AroundTown,No,Unrelated,No,Yes,No,No
693,9,M,16-Jan,1,No,12,M,ThroughFamily,No,Unrelated,Yes,Yes,No,No
693,9,M,16-Jan,2,No,9,M,School,No,Unrelated,No,No,No,No
893,7,M,16-Jan,1,No,7,M,Recreation,No,Unrelated,No,Yes,No,No
930,10,F,16-Jan,1,No,10,F,School,No,Unrelated,No,No,No,No
930,10,F,16-Jan,2,No,11,F,School,No,Unrelated,No,Yes,No,No
930,10,F,16-Jan,3,No,13,F,School,No,Unrelated,No,No,No,No
930,10,F,16-Jan,4,No,10,F,School,No,Unrelated,No,No,No,No
930,10,F,16-Jan,5,No,11,F,School,No,Unrelated,No,Yes,No,No
930,10,F,16-Jan,6,No,12,F,School,No,Unrelated,No,Yes,No,No
709,7,M,16-Jan,1,No,8,M,School,No,Unrelated,No,Yes,No,No
709,7,M,16-Jan,2,No,7,M,School,No,Unrelated,No,Yes,No,No
709,7,M,16-Jan,3,No,8,M,Recreation,No,Unrelated,No,Yes,No,No
709,7,M,16-Jan,4,No,8,M,School,No,Unrelated,No,Yes,No,No
709,7,M,16-Jan,5,No,6,M,Forgot,No,Unrelated,No,Yes,No,No
709,7,M,16-Jan,6,No,6,M,School,No,Unrelated,No,Yes,No,No
721,8,M,17-Jan,1,No,7,M,School,No,Unrelated,No,Yes,No,No
719,10,M,17-Jan,1,Yes,Adult,F,Family,Yes,Immediate,No,Yes,No,No
719,10,M,17-Jan,2,Yes,Adult,M,Family,Yes,Immediate,No,Yes,No,No
719,10,M,17-Jan,3,No,9,F,Family,Yes,Immediate,Yes,Yes,No,No
719,10,M,17-Jan,4,No,8,M,Family,Yes,Immediate,Yes,Yes,No,No
719,10,M,17-Jan,5,Yes,Adult,F,Family,Yes,Extended,No,Yes,No,No
720,9,F,17-Jan,1,No,9,F,School,No,Unrelated,No,Yes,No,No
720,9,F,17-Jan,2,No,8,F,School,No,Unrelated,No,Yes,No,No
720,9,F,17-Jan,3,No,9,F,School,No,Unrelated,No,Yes,No,No
720,9,F,17-Jan,4,No,8,F,School,No,Unrelated,No,Yes,No,No
720,9,F,17-Jan,5,No,9,F,School,No,Unrelated,No,No,Yes,No
720,9,F,17-Jan,6,No,8,F,School,No,Unrelated,No,Yes,Yes,No
414,14,F,17-Jan,1,No,10,F,Family,Yes,Extended,Yes,Yes,No,No
414,14,F,17-Jan,2,No,5,M,Family,Yes,Extended,Yes,Yes,No,No
414,14,F,17-Jan,3,No,8,F,Family,Yes,Extended,Yes,Yes,No,No
414,14,F,17-Jan,4,No,6,F,Family,Yes,Extended,Yes,Yes,No,No
415,7,M,17-Jan,1,No,7,F,Family,Yes,Extended,Yes,Yes,Yes,No
415,7,M,17-Jan,2,No,10,F,Family,Yes,Extended,Yes,Yes,No,No
415,7,M,17-Jan,3,No,6,M,Family,Yes,Extended,Yes,Yes,No,No
415,7,M,17-Jan,4,No,8,F,Family,Yes,Extended,Yes,Yes,No,No
415,7,M,17-Jan,5,No,13,F,Family,Yes,Immediate,Yes,Yes,No,No
415,7,M,17-Jan,6,No,18,F,Family,Yes,Immediate,No,Yes,No,No
415,7,M,17-Jan,7,No,16,M,Family,Yes,Immediate,No,Yes,No,No
415,7,M,17-Jan,8,No,0,M,Family,Yes,Extended,No,Yes,No,No
931,9,F,17-Jan,1,No,9,F,School,Yes,Extended,Yes,Yes,No,No
931,9,F,17-Jan,2,No,11,F,Church,Yes,Extended,No,Yes,No,No
931,9,F,17-Jan,3,No,11,F,Church,No,Unrelated,Yes,No,No,No
931,9,F,17-Jan,4,No,9,F,School,No,Unrelated,No,No,No,No
931,9,F,17-Jan,5,No,8,F,Family,Yes,Extended,Yes,No,No,No
431,8,F,17-Jan,1,No,8,F,School,No,Unrelated,No,No,No,No
431,8,F,17-Jan,2,No,8,F,School,No,Unrelated,No,No,No,No
431,8,F,17-Jan,3,No,8,M,Family,Yes,Extended,Yes,Yes,No,No
954,12,F,17-Jan,1,No,14,F,School,No,Unrelated,No,No,Yes,No
954,12,F,17-Jan,2,No,12,F,Neighbors,No,Unrelated,Yes,Yes,No,No
954,12,F,17-Jan,3,No,12,F,Recreation,No,Unrelated,No,Yes,No,No
430,11,M,17-Jan,1,No,12,M,ThroughFamily,No,Unrelated,No,No,No,No
430,11,M,17-Jan,2,No,10,M,Neighbors,No,Unrelated,No,Yes,No,No
430,11,M,17-Jan,3,No,12,M,Family,Yes,Extended,No,No,No,No
430,11,M,17-Jan,4,No,11,M,School,No,Unrelated,No,No,No,No
430,11,M,17-Jan,5,No,10,M,School,No,Unrelated,No,No,No,No
